2001-01-01, cm01JAN2001bhav.csv.zip
2001-01-02, cm02JAN2001bhav.csv.zip
2001-01-03, cm03JAN2001bhav.csv.zip
2001-01-04, cm04JAN2001bhav.csv.zip
2001-01-05, cm05JAN2001bhav.csv.zip
2001-01-08, cm08JAN2001bhav.csv.zip
2001-01-09, cm09JAN2001bhav.csv.zip
2001-01-10, cm10JAN2001bhav.csv.zip
2001-01-11, cm11JAN2001bhav.csv.zip
2001-01-12, cm12JAN2001bhav.csv.zip
2001-01-15, cm15JAN2001bhav.csv.zip
2001-01-16, cm16JAN2001bhav.csv.zip
2001-01-17, cm17JAN2001bhav.csv.zip
2001-01-18, cm18JAN2001bhav.csv.zip
2001-01-19, cm19JAN2001bhav.csv.zip
2001-01-22, cm22JAN2001bhav.csv.zip
2001-01-23, cm23JAN2001bhav.csv.zip
2001-01-24, cm24JAN2001bhav.csv.zip
2001-01-25, cm25JAN2001bhav.csv.zip
2001-01-29, cm29JAN2001bhav.csv.zip
2001-01-30, cm30JAN2001bhav.csv.zip
2001-01-31, cm31JAN2001bhav.csv.zip
2001-02-01, cm01FEB2001bhav.csv.zip
2001-02-02, cm02FEB2001bhav.csv.zip
2001-02-05, cm05FEB2001bhav.csv.zip
2001-02-06, cm06FEB2001bhav.csv.zip
2001-02-07, cm07FEB2001bhav.csv.zip
2001-02-08, cm08FEB2001bhav.csv.zip
2001-02-09, cm09FEB2001bhav.csv.zip
2001-02-12, cm12FEB2001bhav.csv.zip
2001-02-13, cm13FEB2001bhav.csv.zip
2001-02-14, cm14FEB2001bhav.csv.zip
2001-02-15, cm15FEB2001bhav.csv.zip
2001-02-16, cm16FEB2001bhav.csv.zip
2001-02-19, cm19FEB2001bhav.csv.zip
2001-02-20, cm20FEB2001bhav.csv.zip
2001-02-21, cm21FEB2001bhav.csv.zip
2001-02-22, cm22FEB2001bhav.csv.zip
2001-02-23, cm23FEB2001bhav.csv.zip
2001-02-26, cm26FEB2001bhav.csv.zip
2001-02-27, cm27FEB2001bhav.csv.zip
2001-02-28, cm28FEB2001bhav.csv.zip
2001-03-01, cm01MAR2001bhav.csv.zip
2001-03-02, cm02MAR2001bhav.csv.zip
2001-03-05, cm05MAR2001bhav.csv.zip
2001-03-07, cm07MAR2001bhav.csv.zip
2001-03-08, cm08MAR2001bhav.csv.zip
2001-03-09, cm09MAR2001bhav.csv.zip
2001-03-12, cm12MAR2001bhav.csv.zip
2001-03-13, cm13MAR2001bhav.csv.zip
2001-03-14, cm14MAR2001bhav.csv.zip
2001-03-15, cm15MAR2001bhav.csv.zip
